State,Model Year,Make,Electric Vehicle Type,Electric Range,Base MSRP,Legislative District,CAFV Eligibility Simple
WA,2020,TESLA,BEV,266,0,46.0,Eligible
WA,2024,BMW,PHEV,39,0,46.0,Eligible
WA,2024,BMW,PHEV,39,0,43.0,Eligible
WA,2018,TESLA,BEV,215,0,1.0,Eligible
WA,2012,CHEVROLET,PHEV,35,0,35.0,Eligible
WA,2020,TESLA,BEV,308,0,23.0,Eligible
WA,2020,KIA,BEV,239,0,23.0,Eligible
WA,2018,TESLA,BEV,238,0,21.0,Eligible
WA,2020,TOYOTA,PHEV,25,0,10.0,Not Eligible
WA,2014,NISSAN,BEV,84,0,47.0,Eligible
WA,2014,BMW,PHEV,72,0,23.0,Eligible
WA,2020,TESLA,BEV,266,0,1.0,Eligible
WA,2017,TOYOTA,PHEV,25,0,10.0,Not Eligible
WA,2016,NISSAN,BEV,84,0,32.0,Eligible
WA,2017,NISSAN,BEV,107,0,43.0,Eligible
WA,2023,JEEP,PHEV,21,0,22.0,Not Eligible
WA,2019,NISSAN,BEV,150,0,21.0,Eligible
WA,2019,KIA,PHEV,26,0,10.0,Not Eligible
WA,2019,TESLA,BEV,220,0,44.0,Eligible
WA,2018,NISSAN,BEV,151,0,35.0,Eligible
WA,2024,JEEP,PHEV,21,0,2.0,Not Eligible
WA,2019,KIA,BEV,239,0,34.0,Eligible
WA,2022,JEEP,PHEV,22,0,1.0,Not Eligible
WA,2020,TESLA,BEV,291,0,11.0,Eligible
WA,2017,NISSAN,BEV,107,0,32.0,Eligible
WA,2018,TESLA,BEV,215,0,33.0,Eligible
WA,2016,TESLA,BEV,210,0,20.0,Eligible
WA,2018,TESLA,BEV,215,0,44.0,Eligible
WA,2018,NISSAN,BEV,151,0,23.0,Eligible
WA,2015,FIAT,BEV,87,0,23.0,Eligible
WA,2020,KIA,BEV,239,0,47.0,Eligible
WA,2018,TESLA,BEV,215,0,48.0,Eligible
WA,2015,FORD,PHEV,19,0,35.0,Not Eligible
WA,2020,BMW,PHEV,17,0,45.0,Not Eligible
WA,2020,TESLA,BEV,266,0,11.0,Eligible
WA,2019,TESLA,BEV,220,0,34.0,Eligible
WA,2011,NISSAN,BEV,73,0,43.0,Eligible
WA,2022,BMW,PHEV,30,0,23.0,Eligible
WA,2020,TESLA,BEV,266,0,41.0,Eligible
WA,2019,VOLVO,PHEV,17,0,1.0,Not Eligible
WA,2014,FIAT,BEV,87,0,14.0,Eligible
WA,2018,CHRYSLER,PHEV,33,0,22.0,Eligible
WA,2013,CHEVROLET,PHEV,38,0,21.0,Eligible
WA,2018,NISSAN,BEV,151,0,32.0,Eligible
WA,2018,TESLA,BEV,215,0,21.0,Eligible
WA,2019,TESLA,BEV,220,0,44.0,Eligible
WA,2018,TESLA,BEV,215,0,12.0,Eligible
WA,2015,NISSAN,BEV,84,0,32.0,Eligible
WA,2024,LEXUS,PHEV,37,0,22.0,Eligible
WA,2018,BMW,PHEV,14,45600,23.0,Not Eligible
WA,2022,KIA,PHEV,32,0,10.0,Eligible
WA,2016,NISSAN,BEV,84,0,1.0,Eligible
WA,2015,NISSAN,BEV,84,0,22.0,Eligible
WA,2013,CHEVROLET,PHEV,38,0,14.0,Eligible
WA,2019,TESLA,BEV,220,0,2.0,Eligible
WA,2015,TESLA,BEV,208,0,23.0,Eligible
WA,2022,VOLVO,PHEV,18,0,23.0,Not Eligible
WA,2023,BMW,PHEV,30,0,44.0,Eligible
WA,2023,KIA,PHEV,33,0,22.0,Eligible
WA,2012,NISSAN,BEV,73,0,26.0,Eligible
WA,2020,KIA,BEV,239,0,35.0,Eligible
WA,2016,TESLA,BEV,210,0,1.0,Eligible
WA,2016,BMW,PHEV,14,0,35.0,Not Eligible
WA,2020,TESLA,BEV,289,0,22.0,Eligible
WA,2016,CHEVROLET,PHEV,53,0,22.0,Eligible
WA,2022,KIA,PHEV,26,0,23.0,Not Eligible
WA,2016,FORD,PHEV,19,0,22.0,Not Eligible
WA,2011,NISSAN,BEV,73,0,23.0,Eligible
WA,2019,TESLA,BEV,270,0,47.0,Eligible
WA,2018,TESLA,BEV,215,0,26.0,Eligible
WA,2024,ALFA ROMEO,PHEV,33,0,39.0,Eligible
WA,2023,JEEP,PHEV,25,0,14.0,Not Eligible
WA,2016,TESLA,BEV,200,0,15.0,Eligible
WA,2018,TESLA,BEV,215,0,23.0,Eligible
WA,2020,TESLA,BEV,291,0,45.0,Eligible
WA,2021,TOYOTA,PHEV,42,0,15.0,Eligible
WA,2015,BMW,BEV,81,0,36.0,Eligible
WA,2016,TESLA,BEV,210,0,36.0,Eligible
WA,2019,JAGUAR,BEV,234,0,34.0,Eligible
WA,2018,NISSAN,BEV,151,0,47.0,Eligible
WA,2015,NISSAN,BEV,84,0,22.0,Eligible
WA,2016,TESLA,BEV,200,0,41.0,Eligible
WA,2017,BMW,BEV,81,0,36.0,Eligible
WA,2016,BMW,BEV,81,0,36.0,Eligible
WA,2015,NISSAN,BEV,84,0,22.0,Eligible
WA,2016,AUDI,PHEV,16,0,23.0,Not Eligible
WA,2016,FORD,PHEV,19,0,23.0,Not Eligible
WA,2018,CHEVROLET,BEV,238,0,15.0,Eligible
WA,2017,TESLA,BEV,200,0,35.0,Eligible
WA,2018,TESLA,BEV,215,0,48.0,Eligible
WA,2016,NISSAN,BEV,84,0,34.0,Eligible
WA,2021,JEEP,PHEV,21,0,14.0,Not Eligible
WA,2019,TESLA,BEV,220,0,21.0,Eligible
WA,2015,FIAT,BEV,87,0,41.0,Eligible
WA,2020,TOYOTA,PHEV,25,0,22.0,Not Eligible
WA,2017,BMW,BEV,81,0,36.0,Eligible
WA,2019,TESLA,BEV,220,0,1.0,Eligible
WA,2020,CHEVROLET,BEV,259,0,35.0,Eligible
WA,2017,BMW,PHEV,14,0,11.0,Not Eligible
WA,2016,CHEVROLET,PHEV,53,0,35.0,Eligible
WA,2015,FIAT,BEV,87,0,26.0,Eligible
WA,2012,NISSAN,BEV,73,0,14.0,Eligible
WA,2022,PORSCHE,PHEV,16,0,23.0,Not Eligible
WA,2019,VOLVO,PHEV,17,0,23.0,Not Eligible
WA,2019,TESLA,BEV,220,0,39.0,Eligible
WA,2016,NISSAN,BEV,84,0,43.0,Eligible
WA,2019,NISSAN,BEV,150,0,48.0,Eligible
WA,2020,TESLA,BEV,322,0,15.0,Eligible
WA,2016,TESLA,BEV,210,0,43.0,Eligible
WA,2018,TESLA,BEV,249,0,46.0,Eligible
WA,2018,TESLA,BEV,215,0,34.0,Eligible
WA,2023,VOLVO,PHEV,35,0,35.0,Eligible
WA,2020,TESLA,BEV,291,0,1.0,Eligible
WA,2023,BMW,PHEV,30,0,1.0,Eligible
WA,2016,TESLA,BEV,210,0,26.0,Eligible
WA,2013,CHEVROLET,PHEV,38,0,26.0,Eligible
WA,2015,NISSAN,BEV,84,0,23.0,Eligible
WA,2020,TESLA,BEV,293,0,1.0,Eligible
WA,2019,NISSAN,BEV,150,0,48.0,Eligible
WA,2021,MINI,BEV,110,0,10.0,Eligible
WA,2021,PORSCHE,PHEV,16,0,14.0,Not Eligible
WA,2013,NISSAN,BEV,75,0,22.0,Eligible
WA,2017,BMW,PHEV,14,0,14.0,Not Eligible
WA,2018,TESLA,BEV,249,0,23.0,Eligible
WA,2021,JEEP,PHEV,25,0,1.0,Not Eligible
WA,2015,NISSAN,BEV,84,0,23.0,Eligible
WA,2024,MAZDA,PHEV,26,0,2.0,Not Eligible
WA,2018,TESLA,BEV,215,0,23.0,Eligible
WA,2018,TESLA,BEV,215,0,22.0,Eligible
WA,2024,TOYOTA,PHEV,42,0,12.0,Eligible
WA,2018,TOYOTA,PHEV,25,0,44.0,Not Eligible
WA,2019,NISSAN,BEV,150,0,36.0,Eligible
WA,2024,DODGE,PHEV,32,0,14.0,Eligible
WA,2023,JEEP,PHEV,21,0,9.0,Not Eligible
WA,2017,NISSAN,BEV,107,0,46.0,Eligible
WA,2021,VOLVO,PHEV,18,0,2.0,Not Eligible
WA,2017,CHEVROLET,BEV,238,0,21.0,Eligible
WA,2013,NISSAN,BEV,75,0,21.0,Eligible
WA,2012,NISSAN,BEV,73,0,23.0,Eligible
WA,2018,TESLA,BEV,215,0,48.0,Eligible
WA,2017,TOYOTA,PHEV,25,0,23.0,Not Eligible
WA,2014,FORD,PHEV,19,0,26.0,Not Eligible
WA,2013,NISSAN,BEV,75,0,41.0,Eligible
WA,2020,KIA,BEV,239,0,23.0,Eligible
WA,2020,TESLA,BEV,291,0,46.0,Eligible
WA,2020,NISSAN,BEV,149,0,23.0,Eligible
WA,2020,TESLA,BEV,322,0,23.0,Eligible
WA,2018,NISSAN,BEV,151,0,37.0,Eligible
WA,2020,TESLA,BEV,322,0,43.0,Eligible
WA,2013,CHEVROLET,PHEV,38,0,14.0,Eligible
WA,2014,BMW,PHEV,72,0,43.0,Eligible
WA,2014,CHEVROLET,PHEV,38,0,21.0,Eligible
WA,2020,TESLA,BEV,291,0,21.0,Eligible
WA,2015,NISSAN,BEV,84,0,21.0,Eligible
WA,2018,MINI,PHEV,12,36800,3.0,Not Eligible
WA,2015,NISSAN,BEV,84,0,39.0,Eligible
WA,2014,NISSAN,BEV,84,0,6.0,Eligible
WA,2019,NISSAN,BEV,150,0,44.0,Eligible
WA,2019,TESLA,BEV,220,0,21.0,Eligible
WA,2019,KIA,PHEV,26,0,15.0,Not Eligible
WA,2016,BMW,PHEV,72,0,1.0,Eligible
WA,2018,HONDA,PHEV,47,0,9.0,Eligible
WA,2019,AUDI,BEV,204,0,44.0,Eligible
WA,2020,TESLA,BEV,289,0,1.0,Eligible
WA,2015,NISSAN,BEV,84,0,21.0,Eligible
WA,2025,MAZDA,PHEV,26,0,6.0,Not Eligible
WA,2018,AUDI,PHEV,16,0,40.0,Not Eligible
WA,2015,NISSAN,BEV,84,0,38.0,Eligible
WA,2016,NISSAN,BEV,84,0,5.0,Eligible
WA,2018,CHEVROLET,BEV,238,0,44.0,Eligible
WA,2017,BMW,PHEV,14,0,13.0,Not Eligible
WA,2018,TESLA,BEV,215,0,44.0,Eligible
WA,2018,TESLA,BEV,215,0,1.0,Eligible
WA,2022,AUDI,PHEV,23,0,13.0,Not Eligible
WA,2020,TESLA,BEV,291,0,9.0,Eligible
WA,2018,TESLA,BEV,215,0,22.0,Eligible
WA,2020,KIA,BEV,239,0,26.0,Eligible
WA,2021,VOLVO,PHEV,18,0,38.0,Not Eligible
WA,2023,JEEP,PHEV,21,0,21.0,Not Eligible
WA,2013,FORD,PHEV,19,0,39.0,Not Eligible
WA,2019,TESLA,BEV,220,0,32.0,Eligible
WA,2023,KIA,PHEV,32,0,7.0,Eligible
WA,2015,TESLA,BEV,208,0,48.0,Eligible
WA,2024,LEXUS,PHEV,37,0,23.0,Eligible
WA,2022,BMW,PHEV,21,0,14.0,Not Eligible
WA,2018,BMW,PHEV,97,0,21.0,Eligible
WA,2018,BMW,PHEV,97,0,22.0,Eligible
WA,2014,CHEVROLET,PHEV,38,0,32.0,Eligible
WA,2020,TESLA,BEV,308,0,16.0,Eligible
WA,2019,TESLA,BEV,220,0,44.0,Eligible
WA,2017,TESLA,BEV,210,0,20.0,Eligible
WA,2011,NISSAN,BEV,73,0,2.0,Eligible
WA,2020,NISSAN,BEV,215,0,21.0,Eligible
WA,2023,VOLVO,PHEV,32,0,39.0,Eligible
WA,2023,CHRYSLER,PHEV,32,0,44.0,Eligible
WA,2020,TESLA,BEV,291,0,16.0,Eligible
WA,2022,JEEP,PHEV,21,0,23.0,Not Eligible
WA,2019,TESLA,BEV,220,0,14.0,Eligible
WA,2024,MAZDA,PHEV,26,0,44.0,Not Eligible
WA,2020,TESLA,BEV,291,0,35.0,Eligible
WA,2020,TESLA,BEV,322,0,9.0,Eligible
WA,2019,AUDI,BEV,204,0,1.0,Eligible
WA,2022,JEEP,PHEV,22,0,14.0,Not Eligible
WA,2014,CHEVROLET,PHEV,38,0,14.0,Eligible
WA,2017,NISSAN,BEV,107,0,45.0,Eligible
WA,2012,CHEVROLET,PHEV,35,0,35.0,Eligible
WA,2018,TESLA,BEV,215,0,16.0,Eligible
WA,2018,TESLA,BEV,215,0,1.0,Eligible
WA,2018,TESLA,BEV,215,0,14.0,Eligible
WA,2020,TESLA,BEV,308,0,38.0,Eligible
WA,2020,TESLA,BEV,322,0,10.0,Eligible
WA,2020,CHEVROLET,BEV,259,0,22.0,Eligible
WA,2024,MAZDA,PHEV,26,0,44.0,Not Eligible
WA,2020,TESLA,BEV,322,0,16.0,Eligible
WA,2024,AUDI,PHEV,23,0,1.0,Not Eligible
WA,2015,NISSAN,BEV,84,0,13.0,Eligible
WA,2025,BMW,PHEV,40,0,16.0,Eligible
WA,2016,KIA,BEV,93,31950,14.0,Eligible
WA,2024,LEXUS,PHEV,37,0,38.0,Eligible
WA,2019,TESLA,BEV,289,0,45.0,Eligible
WA,2013,FIAT,BEV,87,0,22.0,Eligible
WA,2017,CHEVROLET,PHEV,53,0,40.0,Eligible
WA,2020,TESLA,BEV,322,0,14.0,Eligible
WA,2020,TESLA,BEV,289,0,15.0,Eligible
WA,2018,TESLA,BEV,215,0,22.0,Eligible
WA,2019,KIA,BEV,239,0,21.0,Eligible
WA,2019,TESLA,BEV,220,0,32.0,Eligible
WA,2024,MAZDA,PHEV,26,0,13.0,Not Eligible
WA,2019,NISSAN,BEV,150,0,23.0,Eligible
WA,2024,HYUNDAI,PHEV,33,0,47.0,Eligible
